,text,label,tweets
1761,timet og tilrettelagt lige som jeg flytter til århus tillykke med det også lejligheden,positive,timet tilrettelagt flytter århus tillykke lejligheden
1762,det har jeg så ikke nej virkeligt skuffende i kunne jo have checket min efterlysning som jeg oprettede for nyeligt inden i returnerede,negative,virkeligt skuffende checket efterlysning oprettede nyeligt inden returnerede
1763,det er virksomhedens andet påbud om lovliggørelse på få måneder link,neutral,virksomhedens påbud lovliggørelse måneder
1764,giv homofobi det røde kort før dagens fck ob kamp opsætter jeg en regnbuebænk til hyldest for mangfoldighed og nej til homofobi ved parken københavns kommune bør opsætte permanent regnbuebænk v parken dkpol fckob sldk elskdenduvil fodboldforalle link,positive,giv homofobi røde kort dagens fck ob kamp opsætter regnbuebænk hyldest mangfoldighed homofobi parken københavns kommune opsætte permanent regnbuebænk v parken dkpol fckob sldk elskdenduvil fodboldforalle
1765,udsatte misbrugere politiet skal lade være med at jage os link link,neutral,udsatte misbrugere politiet lade jage
1766,point men suspendering tid på bænken er imo kun en fordel for den suspenderede lidt som at udsætte brexit men igen det er bare min mening link,negative,point suspendering tid bænken imo fordel suspenderede udsætte brexit mening
1767,rt det er frostvejr her de kære forårsblomster kan ikke lide det det kan jeg heller ikke link,neutral,frostvejr kære forårsblomster lide
1768,flyv axelsen direkte i finalen kom så allengland yae badminton link,positive,flyv axelsen direkte finalen allengland yae badminton
1769,du hører vist kun det du vil der har da været masser af fordømmelse af voldsmændende,negative,hører vist masser fordømmelse voldsmændende
1770,undskyld alle master fatman fans men er jeres guru ikke den samme person som for nogle år siden blev dømt for svindel med betroede midler hvem bliver jeres næste klaus riiskær link,negative,undskyld master fatman fans guru person år dømt svindel betroede midler klaus riiskær
1771,rt vi behøver ikke længere at bedrive satire tak for hjælpen dkmedier link,negative,behøver bedrive satire tak hjælpen dkmedier
1772,homofobisk og racistisk overfald på empire stjerne var muligvis iscenesat link,neutral,homofobisk racistisk overfald empire stjerne muligvis iscenesat
1773,tæller præcis det samme som når der skal beregnes gennemsnit eller karakteren skal bruges internationalt mon ikke det er derfor de ikke bruger ville jo være vildt forvirrende,neutral,tæller præcis beregnes gennemsnit karakteren bruges internationalt mon bruger vildt forvirrende
1774,top mandagsprogrammer i tæt duel dkmedier medienyt link,neutral,top mandagsprogrammer tæt duel dkmedier medienyt
1775,jeg er ikke sikker på der overhovedet findes et pt,negative,sikker overhovedet findes pt
1776,avis agf vil handle hurtigt nicolai poulsen aftale en formalitet sldk transferdk link,neutral,avis agf handle hurtigt nicolai poulsen aftale formalitet sldk transferdk
1777,ugen i odense en lykkelig lukning og dobbelte mandater det er ikke altid sjovt når ting forandrer sig for det skaber ofte en usikkerhed der har det med at brede sig som ringe i vandet tag nu bare beboere og ansatte på hjallese plejecenter der lige link,negative,ugen odense lykkelig lukning dobbelte mandater sjovt ting forandrer skaber ofte usikkerhed brede ringe vandet beboere ansatte hjallese plejecenter
1778,det kan være en forklaring en anden jeg oplever er bekymringer om at træde eksisterende og potentielle kunder over tæerne,neutral,forklaring oplever bekymringer træde eksisterende potentielle kunder tæerne
1779,nul respekt for hadprædikanter som rp nul tolerance over for voldelige demonstranter respekt for som holder lov og orden respekt for som formår at samle i stedet for at splitte dk er og forbliver en værdistærk fri amp demokratisk nation dkpol,positive,nul respekt hadprædikanter rp nul tolerance voldelige demonstranter respekt holder lov orden respekt formår samle stedet splitte dk forbliver værdistærk fri amp demokratisk nation dkpol
1780,to rumænere blev opdaget da de ville stjæle en barberskraber link link,neutral,rumænere opdaget stjæle barberskraber
1781,engelske hold i cl kvartfinalerne tyske spansk italiensk nye tider i europa og ikke meget brexit i champions league i år interessant udvikling cldk,positive,engelske hold cl kvartfinalerne tyske spansk italiensk nye tider europa brexit champions league år interessant udvikling cldk
1782,du er ikke vigtig når du nu har sovet på det synes du så selv at det er en ret relevant satire at rette imod folk der fortæller om sårbarhed person mit selvværd har det nogen gange svært heino du er ikke vigtig ha ha ha ha ha,negative,vigtig sovet ret relevant satire rette folk fortæller sårbarhed person selvværd gange svært heino vigtig ha ha ha ha ha
1783,tørke og uendelig solskin er godt til at solbadning men knap så godt til at dyrke afgrøder på marken alt i alt et tilfredsstillende år på trods danish agro årsregnskab landbrug dkbiz danishagro link link,positive,tørke uendelig solskin solbadning knap dyrke afgrøder marken tilfredsstillende år trods danish agro årsregnskab landbrug dkbiz danishagro
1784,du svarede vel bare igen,neutral,svarede vel
1785,er ret sikker på får lige så mange lyttere i morgen som får på ghitagate samlet hvaskajegmeddender kompletuforskammet,negative,ret sikker lyttere morgen ghitagate samlet hvaskajegmeddender kompletuforskammet
1786,ingen ef forpligtet til at bidrage aktivt til undersøgelsen mod sig selv men olaf har aldrig rost messerschmidt for aktivisme nogle kan repetere det forløb jeg må på arbejde nu,negative,ef forpligtet bidrage aktivt undersøgelsen olaf rost messerschmidt aktivisme repetere forløb arbejde
1787,tyr det er en belønnende søndag for familieaffærer indkøb og link,neutral,tyr belønnende søndag familieaffærer indkøb
1788,så du synes at hvis et medie der er kendt for at gå til stregen kommer til at gå over så skal vi blande domstolene ind i det også selvom de har undskyldt eller misforstår jeg hvilke rettigheder er det du mener der ændres,negative,medie kendt gå stregen gå blande domstolene undskyldt misforstår rettigheder mener ændres
1789,ca ansatte så trækker det resten af sektorens sygefravær op rapporten konkluderer bl a over halvdelen af forskellene i sygefravær skyldes forskelle i demografi og arbejde siger merete labriola som er uafhængig forsker med speciale i sygefravær,neutral,ca ansatte trækker resten sektorens sygefravær rapporten konkluderer bl a halvdelen forskellene sygefravær skyldes forskelle demografi arbejde siger merete labriola uafhængig forsker speciale sygefravær
1790,hvorfor hæfter de dem ikke ved det som er svarers hovedpointe nemlig at der skal sættes massivt ind for at nedbringe landbrugets co udledning,neutral,hæfter svarers hovedpointe sættes massivt nedbringe landbrugets co udledning
1791,det hænger bl a sammen med kultur i sverige og norge tygger og snuser man tobak imens man i dk ryger det jeg kender ikke prisen på nikotintyggegummi i norge men prisen på norsk snus er ca kr,neutral,hænger bl a kultur sverige norge tygger snuser tobak dk ryger kender prisen nikotintyggegummi norge prisen norsk snus ca kr
1792,ved jeg nu ikke er bange for at vi ville lave en england og ende med at melde os ud uden at gennemskue eventuelle konsekvenser angående artikel imo skal der gøres noget men jeg har mange bedre ideer end det de har valgt at lave,negative,bange england ende melde gennemskue eventuelle konsekvenser angående artikel imo gøres bedre ideer valgt
1793,er det ikke lige lovlig tidligt her mdr før forhandlingerne overhovedet begynder at være klar til konflikt,negative,lovlig tidligt mdr forhandlingerne overhovedet begynder klar konflikt
1794,og du har ikke et sagligt veldokumenteret svar på andreas spørgsmål tænker jeg,negative,sagligt veldokumenteret svar andreas spørgsmål tænker
1795,din bio siger du er lektor det synes jeg er imponerende og skræmmende for du er da ret rablende,negative,bio siger lektor imponerende skræmmende ret rablende
1796,mand stukket ned med skruetrækker ved halmtorvet i københavn overfald knivstik politidk nyheder link,neutral,stukket skruetrækker halmtorvet københavn overfald knivstik politidk nyheder
1797,udstillingen på fuglsang vil som den første nogensinde zoome ind på de to kunstneres venskab og gensidige kunstneriske inspiration og baserer sig på museets forskning link,neutral,udstillingen fuglsang første zoome kunstneres venskab gensidige kunstneriske inspiration baserer museets forskning
1798,dum te dum te intet set eller hørt kognitiv dissonans fuck gud offentligheden så det råber det er gåt nok for dååårrligt,negative,dum te dum te set hørt kognitiv dissonans fuck gud offentligheden råber gåt dååårrligt
1799,kan man selv male et badekar og hvilke maling kan man bruge et par gode råd anyone,neutral,male badekar maling bruge par gode råd anyone
1800,seks dage lang festival kommer rundt i alle krogene link,neutral,dage lang festival rundt krogene
1801,kan garantere flere hyggelige medmenneskelige historier i tiden fremover også til dere som ikke har appen den er åpen for alle og er gratis last ned på link link,positive,garantere hyggelige medmenneskelige historier tiden fremover dere appen åpen gratis last
1802,atk har i dag målt på vores faste fokusstrækning jelsvej i vejen kommune langt de fleste valgte at følge vores opfordring at lave en blitz dag desværre var der som fik et blitz men rigtig godt at de mere end andre bilister overholdt fartgrænsen atkdk politidk link,neutral,atk dag målt faste fokusstrækning jelsvej vejen kommune langt valgte følge opfordring blitz dag desværre blitz rigtig bilister overholdt fartgrænsen atkdk politidk
1803,man bliver så træt hans andersen dine antagelser mm og stikpiller som du sidder og finder på hver gang der er en nyhed om modparten skræmmer vælgere væk forstå det vi vil kun høre hvad du i vil hvis du ved det,negative,træt andersen antagelser mm stikpiller sidder finder gang nyhed modparten skræmmer vælgere væk forstå høre
1804,mindesten for knud hjortø afsløres på søndag link,neutral,mindesten knud hjortø afsløres søndag
1805,fc midtjylland brøndby if mål til brøndby if,neutral,fc midtjylland brøndby if mål brøndby if
1806,det skal supplered af regulering som gør det nemt at afvikle fuldskala test samt offentlig investeringer i forskning og udvikling så viden og teknologi er tilgængelig for erhvervslivet,neutral,supplered regulering nemt afvikle fuldskala test samt offentlig investeringer forskning udvikling viden teknologi tilgængelig erhvervslivet
1807,jeg er stolt over alle de danskere jeg kender som aktivt yder regeringen modstand og insisterer på værdier som tolerance åbenhed sammenhold og frihed der er ikke noget i det politiske system jeg er stolt over,neutral,stolt danskere kender aktivt yder regeringen modstand insisterer værdier tolerance åbenhed sammenhold frihed politiske system stolt
1808,det er ikke en april spøg man kan faktisk igen søge om et gratis besøg af værdighedsrejseholdet ansøgningsfrist d maj værdighed sundpol sundhedforalle ældrepleje værdigældrepleje link,positive,april spøg faktisk søge gratis besøg værdighedsrejseholdet ansøgningsfrist d maj værdighed sundpol sundhedforalle ældrepleje værdigældrepleje
1809,jeg har ærligt ikke haft lejlighed til at høre lige præcis om denne sag men ellers er jeg fast lytter på p mit budskab er mere at du sagtens kunne have nuanceret det fx skrevet med midler fra finanssektoren som ikke blander sig i uddeling kriterier eller andet,neutral,ærligt haft lejlighed høre præcis sag fast lytter p budskab sagtens nuanceret skrevet midler finanssektoren blander uddeling kriterier
1810,det der skete ved tmi var at vi opdagede hvor hurtigt der skal reageres og at fokus på at redde reaktoren for videre produktion er helt forkert præcis samme fejl skete på fukushima i begge tilfælde var reaktoren nedsmeltet mange timer inden man fik mistanken link,neutral,skete tmi opdagede hurtigt reageres fokus redde reaktoren videre produktion forkert præcis fejl skete fukushima tilfælde reaktoren nedsmeltet timer inden mistanken
1811,der er i dag fodbold kampe events mere der vises direkte på tv kun på kun på via live stream dksport dkbold sldk pldk laliga seriea cldk eldk link link,neutral,dag fodbold kampe events vises direkte tv live stream dksport dkbold sldk pldk laliga seriea cldk eldk
1812,fundraising og projektstøtte er det lige dig så er her en mulighed link,positive,fundraising projektstøtte mulighed
1813,rt fremvisning af skråremme og lange sorte støvler link,positive,fremvisning skråremme lange sorte støvler
1814,jeg deler din overraskelse selvom jeg kommer jævnligt dernede på deres klatrebaner så måske burde jeg ikke blive overrasket på den anden side er det jo ikke vores natur men hans ejendom,neutral,deler overraskelse jævnligt dernede klatrebaner overrasket side natur ejendom
1815,det spejler sig i spørgsmålet til møller vil du være enig i at det oplyser koch at diskutere hans forhold til grønbech det er jo ikke svært for doktoranden at give ham ret i det giver en venlig og samtalende diskussion,neutral,spejler spørgsmålet møller enig oplyser koch diskutere forhold grønbech svært doktoranden give ret giver venlig samtalende diskussion
1816,de har været ude at sige det sædvanlige vås om at klummeskriveren kun giver udtryk for sin egen mening ja men som komplet med andre aviser når de gør det det er for vattet i trykker det,negative,ude sædvanlige vås klummeskriveren giver udtryk mening komplet aviser vattet trykker
1817,tænker motoren skal køre så og så mange minutter før der er tryk nok på bremseevne så hvis motoren slukkes så tager det alt for lang tid inden den kan bevæge sig igen,neutral,tænker motoren køre minutter tryk bremseevne motoren slukkes tager lang tid inden bevæge
1818,salget af elbiler stiger men danske vilkår halter efter andre lande link,negative,salget elbiler stiger danske vilkår halter lande
1819,dan jørgensen astrid krag merete riisager trine bramsen link dkpol,neutral,dan jørgensen astrid krag merete riisager trine bramsen dkpol
1820,biblioteker er også blevet kulturcentre og centre for at formidle innovation virkeliggjort folkeoplysning på alle måder hvis der skal ske noget med dem så skal det blot være endnu mere fart på i samme retning,positive,biblioteker blevet kulturcentre centre formidle innovation virkeliggjort folkeoplysning måder ske blot fart retning
1821,nyt på den politiske blog en ny tamilsag inger støjbergs løgne i samråd dkpol dkmedier ministeransvar demokrati dkjura link,negative,politiske blog tamilsag inger støjbergs løgne samråd dkpol dkmedier ministeransvar demokrati dkjura
1822,fischers metode til at få dette frem ved at håne ob s endetribune efter kampen har vist sig at være det der er brug for til at få homofobi på dagsordenen fanklubber klubber divisionsforeningen og alle større medier har dette oppe her til morgen sldk,positive,fischers metode frem håne ob s endetribune kampen vist brug homofobi dagsordenen fanklubber klubber divisionsforeningen større medier oppe morgen sldk
1823,radio syv klaus riskær pedersen stopper som vært på radio syv link,neutral,radio klaus riskær pedersen stopper vært radio
1824,rt hvad f sker der nu her dkpol ledelse link,negative,f sker dkpol ledelse
1825,i det omfang det lader sig gøre er det altid klogt men ikke altid muligt på en forlænget rejsetid i arbejdstiden pendlerliv,neutral,omfang lader klogt muligt forlænget rejsetid arbejdstiden pendlerliv
1826,molinari og finau begge i vandet sikke en gyser det bliver themasters,positive,molinari finau vandet sikke gyser themasters
1827,det er da bare at lave en lovændring dømte kriminelle kan ikke opstilles til folketinget det virker og bruges mange andre steder kritikere mener at mange danskere er for uintelligente til demokrati de fik lige nye argumenter her dkpol hvaskerderfordigdanmark link,negative,lovændring dømte kriminelle opstilles folketinget virker bruges steder kritikere mener danskere uintelligente demokrati nye argumenter dkpol hvaskerderfordigdanmark
1828,fordi den tosse kunne være dig hvis en gruppe voldspsykopater var uenig i dine holdninger det er sådan et civiliseret samfund fungere jeg synes at er en kæmpe idiot men holder fast i at hvis folk kunne være uenig i fred var politi ikke nødvendigt,negative,tosse gruppe voldspsykopater uenig holdninger civiliseret samfund fungere kæmpe idiot holder fast folk uenig fred politi nødvendigt
1829,vold trusler og flere tilfælde af hærværk mod to biler familiens private bil og faderens arbejdsbil og i december blev familiens kolonihavehus ødelagt i en påsat brand link,negative,vold trusler tilfælde hærværk biler familiens private bil faderens arbejdsbil december familiens kolonihavehus ødelagt påsat brand
1830,hvad mener danskerne om kulturen stor ny analyse udarbejdet af tænketanken for atingets kulturpoltiske netværk er nu udkommet læs hele analysen her link dkpol dkmedier link,neutral,mener danskerne kulturen analyse udarbejdet tænketanken atingets kulturpoltiske netværk udkommet læs hele analysen dkpol dkmedier
1831,satanismen og hele id en om at indgå en pagt med eller ligefrem sælge sin sjæl til djævlen er en afgørende for hvordan vores musikkultur har udfoldet sig henover de seneste hundrede år tråd link,neutral,satanismen hele id indgå pagt ligefrem sælge sjæl djævlen afgørende musikkultur udfoldet seneste hundrede år tråd
1832,esportdk har virkelig vundet en plads i danskernes hjerter forhåbentlig betyder det at vi ser flere piger kvinder i sporten fremadrettet vores ligapartnere fra har taget en snak med hedensted esport hvor de har gang i processen læs med link,positive,esportdk virkelig vundet plads danskernes hjerter forhåbentlig betyder piger kvinder sporten fremadrettet ligapartnere taget snak hedensted esport gang processen læs
1833,ja men jeg er ikke så vild med at hænge denne her på politiet det er altså et resultat af dkpol desværre og hvis politiet nu synes det er politikerne som skal sige stop her synes jeg det har ret ved selvfølgelig ikke om det er deres agenda her,neutral,vild hænge politiet altså resultat dkpol desværre politiet politikerne stop ret selvfølgelig agenda
1834,nåhh ja mente det nok,positive,nåhh mente
1835,enig men valgdebatterne skal handle om at imødegå klimaforandringer ikke om muslimer og udlændinge lad os gøre vores til at de vigtigste emner fylder mest i offentlig debat grøntvalg lighed sundhed bæredygtighed,positive,enig valgdebatterne handle imødegå klimaforandringer muslimer udlændinge vigtigste emner fylder offentlig debat grøntvalg lighed sundhed bæredygtighed
1836,nej den konstante bashing der foregår giver flere og flere lyst til at lukke flere ind ikke færre og det er kun for at pisse jer af,negative,konstante bashing foregår giver lyst lukke færre pisse
1837,vi har brug for en lang årrække uden immigranter flygtninge i danmark at nogle af dem er nemme er intigrere er godt men mange lever i et paralelt samfund og vil gøre det i generationer er et kæmpe problem,negative,brug lang årrække immigranter flygtninge danmark nemme intigrere lever paralelt samfund generationer kæmpe problem
1838,sagen om dbu s valg af copenhagen sundays som em værter bliver mere og mere interessant nu har ekstra bladet også kastet sig over den holder i stadig fast i at de to er de rigtige til at samle danskerne om em sldk link,negative,sagen dbu s valg copenhagen sundays em værter interessant ekstra bladet kastet holder fast rigtige samle danskerne em sldk
1839,hvor gammel er det nu mikmer er,neutral,gammel mikmer
1840,overhørt på redaktionen i borgens kælder jeg ville være en helt ideel pensionist,positive,overhørt redaktionen borgens kælder ideel pensionist
1841,nej han er nødt til at gå sidelæns men han kan stadig jonglere hele vejen op,positive,nødt gå sidelæns jonglere hele vejen
1842,synes ikke jeg kan læse på nogle af demonstrationsskiltene hvor forældrene mener pengene skal komme fra men helt oprigtigt er det ikke blevet bagsiden af medaljen vedr vores velfærdssamfund vi ser det mere og mere som en ret ikke som et privilegie,negative,læse demonstrationsskiltene forældrene mener pengene oprigtigt blevet bagsiden medaljen vedr velfærdssamfund ret privilegie
1843,bare ikke hele tiden med de der flygtninge du virker meget meget sikker i din sag på at samfundet bare skal reagere fast nok over for barnet og det i sig selv vil hjælpe hvad bygger du det på,negative,hele tiden flygtninge virker sikker sag samfundet reagere fast barnet hjælpe bygger
1844,husker du vaio pc brandet er nu tilbage på det danske marked,neutral,husker vaio pc brandet danske marked
1845,vi kan alle købe tændstikker men derfor skal vi ikke bruge dem til ildspåsættelse vi bliver alle provokeret og skal holde os til en demokratisk dagsorden ellers havde jeg nok bombet og sat ild til skat for den absurde afgørelse de har lavet på mig dkpol,negative,købe tændstikker bruge ildspåsættelse provokeret holde demokratisk dagsorden bombet sat ild skat absurde afgørelse dkpol
1846,jo det har jeg lige gjort hvis det eksempelvis bliver en ret for folk der har været år på arbejdsmarkedet er det en ret for de der opfylder den betingelse men det er jo ikke alle på arbejdsmarkedet der opnår år,neutral,eksempelvis ret folk år arbejdsmarkedet ret opfylder betingelse arbejdsmarkedet opnår år
1847,hvornår er man egentlig nedslidt det er et godt spørgsmål i disse tider har her en artikel der kommer ind på emnet dkpol fv link,neutral,egentlig nedslidt spørgsmål tider artikel emnet dkpol fv
1848,gælder det også miljøkrav så færre vil dø af forureningen fra dem groentvalg,negative,gælder miljøkrav færre dø forureningen groentvalg
1849,mest læste seneste uge dennis kristensen rasmus paludan angriber ytringsfriheden gratis at læse link dkpol link,neutral,læste seneste uge dennis kristensen rasmus paludan angriber ytringsfriheden gratis læse dkpol
1850,wooooow did you just go there jeg tror på aab og drengene også selvom det hele er lidt lort lige nu,positive,wooooow did you just go there tror aab drengene hele lort
1851,tænk at vi udsætter de børn for flere traumer link,negative,tænk udsætter børn traumer
1852,jo det kunne jo starte med at de etablerede partier alle klart tilkendegiver at manden ikke har en chance for indflydelse lige nu er meldingen fra jer at i ikke vil udelukke noget god maj,negative,starte etablerede partier klart tilkendegiver manden chance indflydelse meldingen udelukke maj
1853,valg kære venner vores stærke demokrati skal nok si larmende provokatører fra af sig selv lad os bruge de næste tre uger på at diskutere det der i virkeligheden er vigtigt for os selv og vores børn vores klima og den grønne omstilling link,neutral,valg kære venner stærke demokrati si larmende provokatører bruge uger diskutere virkeligheden vigtigt børn klima grønne omstilling
1854,men er det ok at råbe luder eller andet i den kategori skal tv bestemme hvad der må synges på diverse stadioner rundt i landet at man ligepludselig blæser det her helt op er da pinligt det har jo foregået i lang tid bla fck bøsserne fra vestegnen det har vi ikke hørt noget om,negative,ok råbe luder kategori tv bestemme synges diverse stadioner rundt landet ligepludselig blæser pinligt foregået lang tid bla fck bøsserne vestegnen hørt
1855,det er regeringen der har tvunget besparelser ned over kommunerne og begrænset deres budgetter det hedder centralisering og er det modsatte af hvad regeringens partier ideologisk er bygget på,negative,regeringen tvunget besparelser kommunerne begrænset budgetter hedder centralisering modsatte regeringens partier ideologisk bygget
1856,lars versus lægerne har på lægemøde besøg af der konstaterer sammenhængen i det danske sundhedsvæsen er blevet bedre bl a p g a lægernes daglige indsats men der r stadig forbedringspotentiale for at sammenhæng f patienterne sundpol dkpol link,positive,lars versus lægerne lægemøde besøg konstaterer sammenhængen danske sundhedsvæsen blevet bedre bl a p g a lægernes daglige indsats r forbedringspotentiale sammenhæng f patienterne sundpol dkpol
1857,korrekt så skal dem i slagelse tjene penge på dem i roskilde ikke optimalt i mine øjne,negative,korrekt slagelse tjene penge roskilde optimalt øjne
1858,det er jo hvad man kan forvente af en socialist ingen evne til at gøre noget på eget initiativ jeg har fortalt dig hvor du kan finde det men det rækker evner måske ikke til kildekritik den gælder jo også modsat smarte link,negative,forvente socialist evne eget initiativ fortalt finde rækker evner kildekritik gælder modsat smarte
1859,det der er så håbløst og kun et stort stunt i en endnu ikke udskrevet valgkamp,negative,håbløst stort stunt udskrevet valgkamp
1860,her er truppen landsholdet nye joachim andersen robert skov philip billing hareide fremhæver robert skovs afslutningsevne udefra især i kampe mod lavtstående mindre nationer link,neutral,truppen landsholdet nye joachim andersen robert skov philip billing hareide fremhæver robert skovs afslutningsevne udefra især kampe lavtstående nationer
1861,jeg sender mine varmeste tanker til mine kolleger på i denne svære stund dkmedier link,neutral,sender varmeste tanker kolleger svære stund dkmedier
1862,quick edit of sonic i reworked his mouth and nose and increased the size of his eyes his eyes are just ugh sonicmovie link,negative,quick edit of sonic reworked his mouth and nose and increased the size of his eyes his eyes are just ugh sonicmovie
1863,lyt med på vores podcast aofoplyser hvor vi præsenterer alle spidskandidater til ep dk itunes link soundcloud link dkpol link,neutral,lyt podcast aofoplyser præsenterer spidskandidater ep dk itunes soundcloud dkpol
1864,kontro udmelding jeg er sådan ægte mennesketræt af diskursen i dansk politik den sutter røv og det kan være fint at sutte røv men alle parter skal være indforståede og hygge sig og jeg hygger mig kraftedme ikke buh,negative,kontro udmelding ægte mennesketræt diskursen dansk politik sutter røv fint sutte røv parter indforståede hygge hygger kraftedme buh
1865,populaert eller ej farligt naar politikere lukker medier de ikke kan lide saa er vi paa vej mod bogbraendinger df handler som vanligt helt uden moralsk kompas dkpol,negative,populaert farligt naar politikere lukker medier lide saa paa vej bogbraendinger df handler vanligt moralsk kompas dkpol
1866,nej men har læst hvad pølsemutter fortæller og det er ikke ok,negative,læst pølsemutter fortæller ok
1867,hvorfor er det at vi ikke længere må se tv billederne af gengivelserne når der er var det er da grænseløst irriterende cldk,negative,tv billederne gengivelserne grænseløst irriterende cldk
1868,spritny megafon måling giver nye borgerlige mandater jeg tror på at mange danskere i det stille er dybt trætte af de gamle partier og støtter nye borgerlige ca af vælgerne har ikke ytret sig besluttet link,neutral,spritny megafon måling giver nye borgerlige mandater tror danskere stille dybt trætte gamle partier støtter nye borgerlige ca vælgerne ytret besluttet
1869,en varm anbefaling til statistiknørder med forkærlighed for pldk et par bernørder har samlet al statistik og målrettet det dit fantasy manager spil link du kan selvfølgelig også bare gøre som og pille aguero ud lige inden et hattrick,positive,varm anbefaling statistiknørder forkærlighed pldk par bernørder samlet al statistik målrettet fantasy manager spil selvfølgelig pille aguero inden hattrick
1870,kære vi er klar til andet sæt er i vi glæder os til at tage i mod jer på søndag hvor i får lov til at smage på det bedste af fyn iskoldodense link,positive,kære klar sæt glæder søndag lov smage bedste fyn iskoldodense
1871,lader til at de rigtigt mange tweets der har stillet spørgsmål til dr s omtale af racisten langt om længe er slået igennem til webredaktionen og tak for det,positive,lader rigtigt tweets stillet spørgsmål dr s omtale racisten langt længe slået webredaktionen tak
1872,hvad med bare at gøre noget ved priserne det kan ikke være tigtigg at det er dyrere t tage toget end at tage flyet er den gal med brændstofpriserne,negative,priserne tigtigg dyrere t toget flyet gal brændstofpriserne
1873,rt hyggeligt hotel i københavn tæt på hovedbanen med god morgenmadsbuffet twitterhjerne,neutral,hyggeligt hotel københavn tæt hovedbanen morgenmadsbuffet twitterhjerne
1874,tidligere pet chef det var en katastrofal fejltagelse at nedlægge rejseholdet link fyensdk,negative,pet chef katastrofal fejltagelse nedlægge rejseholdet fyensdk
1875,kongehuset står nu for tur det er en oldgammel og forældet mentalitet der ikke høre hjemme i den frie verden og her bliver den sidste apanage udbetalt en folk royalister er stadig tilbage men de begynder også at skabe oprør den private hær gør hvad den altid har gjort,negative,kongehuset står tur oldgammel forældet mentalitet høre hjemme frie verden sidste apanage udbetalt folk royalister begynder skabe oprør private hær
1876,når sender mig en mail med undskyldning om datalæk af min og andres data d april er det svært at vide om det er en joke mailen tyder dog ikke på det så jeg er ikke særlig tilfreds specielt når footeren i mailen inkludere denne signatur gdpr data dkit link,negative,sender mail undskyldning datalæk andres data d april svært vide joke mailen tyder særlig tilfreds specielt footeren mailen inkludere signatur gdpr data dkit
1877,moddemonstrationer har forvoldt ufattelig skade nu kommer valgkampen til igen at handle om flygtninge fremfor f eks klima det er satme så sørgeligt,negative,moddemonstrationer forvoldt ufattelig skade valgkampen handle flygtninge fremfor f eks klima satme sørgeligt
1878,åh gud har intet med det at gøre,negative,åh gud
1879,tror faktisk der er en hel del fodboldfans i hele dk der passer på den beskrivelse måske ligefrem et par hviiie også kudos til vf for at stikke hul mon ikke det bliver forårets tema og dbu kommer til at følge op med et par trusler osv osv sldk,positive,tror faktisk del fodboldfans hele dk passer beskrivelse ligefrem par hviiie kudos vf stikke hul mon forårets tema dbu følge par trusler osv osv sldk
1880,svar nu hvem var det der brændte gaderne af lavede hærværk dkpol selvidioterharytringsfrihed,negative,svar brændte gaderne lavede hærværk dkpol selvidioterharytringsfrihed
1881,jeg synes faktisk det sprogligt har været svært at lure hvad man skulle kalde ham hadprædikant er måske bedste bud men mange har ønsket racismedømt det ville jeg også tøve ved som redaktør mest fordi der ikke er tradition for at bruge den type titel så forstår,negative,faktisk sprogligt svært lure kalde hadprædikant bedste bud ønsket racismedømt tøve redaktør tradition bruge type titel forstår
1882,podcast transfervinduet brøndby profil opruster gør sig klar til stort sommersalg andellerej sldk transferdk hør podcasten gennem linket herunder via itunes eller radio syv app link link,neutral,podcast transfervinduet brøndby profil opruster klar stort sommersalg andellerej sldk transferdk hør podcasten linket herunder itunes radio app
1883,men højre og venstre er jo bare ord ved ikke om de har nogle fast definition så du kan jo altid lave den argumentering om alt politik er det virkelig højre at hade indvandre er det virkelig venstre at være social sådan kan man jo gøre med alt,neutral,højre venstre ord fast definition argumentering politik virkelig højre hade indvandre virkelig venstre social
1884,hvilken du skriver ikke under noget opslag tweet,neutral,skriver opslag tweet
1885,og er det tilstrækkeligt denne markedsfejls tilgang der satser på at levere ekstra information til markedet argumenterer her for at myndigheder i højere grad skal forme markederne med regulering og kreditstyring dkgreen dkfinans link,neutral,tilstrækkeligt markedsfejls tilgang satser levere ekstra information markedet argumenterer myndigheder højere grad forme markederne regulering kreditstyring dkgreen dkfinans
1886,tænker kan svare men umiddelbart vil jeg gætte på det er noget så simpelt som en økonomisk vurdering lige pt står de også uden overenskomst fordi man ikke prioriterer det hos politikerne,neutral,tænker svare umiddelbart gætte simpelt økonomisk vurdering pt står overenskomst prioriterer politikerne
1887,rt talentkommune hold da op bliver spændende at følge link,positive,talentkommune hold spændende følge
1888,det er flere år siden jeg undersøgte hvordan man kan afsætte en formand for folketinget det kan man godt gid de ville nu mor shamer formanden i forlængelse af at administrere folketingssalen som om det var egen dagligstue i mit hjem gælder mine regler dkpol link,negative,år undersøgte afsætte formand folketinget gid mor shamer formanden forlængelse administrere folketingssalen dagligstue hjem gælder regler dkpol
1889,jeg har pr definition aldrig lyst til at gå i stiletter men det er tåbeligt at der stadig bliver kommenteret så meget på kvinders tøj og accessories i medierne vi skriver for crying out loud,negative,pr definition lyst gå stiletter tåbeligt kommenteret kvinders tøj accessories medierne skriver crying out loud
